[T']6x6-14-10012    fffoOoqoooqffofqqfffoOoffffoqqqfoqqq    4x2,3x2,2x3,1x12,-1x1,-3x1
[T']6x6-14-10022    offfqOoqqfoqOoofffqfooqfqfffqfqfqoOo    2x8,1x11,-1x1,-2x1
[T']6x6-14-10051    OffffqQfoofofqfqofqffooOfoofqooOoofq    2x10,1x13,-3x1
[T']6x6-14-10057    qqooqfffffOfOffoqfqofoofOqoqoOfffoqo    3x2,2x8,1x10,-1x1,-2x1
[T']6x6-14-10058    fooqfOfoOfqOfofoffqfoqQffqfoqfqqqqof    4x2,3x5,2x5,1x2,-3x4
[T']6x6-14-10069    fqofqqqffOOfoffffqfOofoooOffOoqfooqo    4x2,2x4,1x10,-1x1
[T']6x6-14-10196    qqffffqfoffqfoofOqoOqoofoqoofOqfffqq    3x1,2x8,1x10,-1x1
[T']6x6-14-10205    oqqfffffffoqofooqqqfoofOqfqOfOqfoqfq    4x2,3x1,2x4,1x9,-1x1,-2x2
[T']6x6-14-10226    qfooqfooffqfqoofqfqOffOfqfOfOofqQqfq    4x2,2x4,1x11,-1x1,-2x1
[T']6x6-14-10296    oqqOoofoofoqqfoffffofffqQffoqfqqfoOo    2x8,1x11,-1x1
[T']6x6-14-10301    qqqqqoffffffOqoofooooqfqOfffffoqOofo    4x2,3x2,2x4,1x10,-1x1,-2x2
[T']6x6-14-10348    qqfqoOoffooqfooffooooffqOqfqffofqQff    4x2,2x4,1x13,-1x1
[T']6x6-14-10355    qoqfffooffqqOoffoqfOooffqfoqofqqfOof    4x1,3x3,2x5,1x12,-1x1
[T']6x6-14-10377    fffqoqfOoqqffofoqfoOofqfooOqfqqfffqq    4x3,3x3,2x4,1x9,-1x1
[T']6x6-14-10410    ffqqqffqfooffOofqfqOooofqooqqfofffqq    2x9,1x7,-1x1
[T']6x6-14-10430    qqfqffOqffqfoofoofqfoofqqoofoofffQOo    4x2,3x2,2x7,1x6,-1x1,-2x1,-3x1
[T']6x6-14-10443    qoOffffqoqqqoffoqfooffofOofqffofoqqq    2x8,1x11,-1x1
[T']6x6-14-10454    qoofffOooqOqoofoqqffoffffOfOqqffqfqo    4x2,3x1,2x1,1x13,-4x1
[T']6x6-14-10565    qoqooqfqoQffqffffOqfffOofooqoqooOfff    2x8,1x12,-1x1,-2x3
[T']6x6-14-10595    qooqfqfOofqqOfffofqffoofqooqqfqoOfff    4x3,3x1,2x5,1x11,-1x1
[T']6x6-14-10604    qfoOoqfffqooqoffoqfOfoqfffqOfqfoofoO    4x2,2x4,1x14,-1x1
[T']6x6-14-10772    fOofffqfQqoqqofOfqqfoqfffoooffqoOqqf    3x1,2x7,1x10,-1x1
[T']6x6-14-10773    qqffqooffqOfOffOfoOqOfffqoqqqoofffqq    4x1,3x3,2x4,1x11,-1x1,-2x1
[T']6x6-14-10793    fffqqfqofqfOqoofqffqooofqfqOofqqfoqf    4x1,3x3,2x6,1x5,-1x1,-3x1
[T']6x6-14-10887    qfffffqfoooffOoOqfoqqfoqqqofffqqqqqf    4x1,3x4,2x5,1x6,-1x1,-2x1,-3x1
[T']6x6-14-10915    qqffffqofqqqfofooffooooffqooffooOfoq    3x1,2x9,1x12,-1x1
[T']6x6-14-10950    qqoqofqffffqqqofoqfoOffqfqqOoofOfffO    4x2,3x1,2x3,1x8,-1x1,-2x2
[T']6x6-14-11019    oqqfoqqfoffoOfffqofffoofqqfoofooOqqf    2x8,1x11,-1x1,-2x1
[T']6x6-14-11069    qqoofqoOoffqqfqOfffqfoqffqofoffoOofq    2x9,1x6,-1x1
[T']6x6-14-11092    qqfffqqqoqfqqooofqffofqqffqOfQffoqOf    3x2,2x7,1x5,-2x1
[T']6x6-14-11106    fooOofqfoofqOofffQqfoqfQfqooqfqoqfff    3x2,2x7,1x12,-1x1
[T']6x6-14-11148    ffffqqfooqfOOffoqffffoooqOfoqOoqfqqq    4x2,3x3,2x2,1x11,-1x1,-4x1
[T']6x6-14-11163    ffffoqfqoofqfqofoqfOfoooqofqoqOqfffq    2x8,1x10,-1x1
[T']6x6-14-11179    oOofqqqfoqfqffqoofOfqffqqffofoOooqff    3x1,2x7,1x10,-1x1,-2x1,-3x1
[T']6x6-14-11214    ooqqqqoofffqOfoOffffofofOffOqfOqqfoO    3x2,2x7,1x9,-1x1
[T']6x6-14-11226    qfQqqffofofffqofqffqoOooqffffOqoqqqo    3x1,2x7,1x10,-1x1,-3x1
[T']6x6-14-11263    qqOffffqqoqfqfooOffofOoffoooqqfffqqq    4x1,3x4,2x6,1x9,-1x1,-3x1
